id,text,label,words
15,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",1,"['helsinki', 'afx', 'shares', 'closed', 'higher', 'led', 'by', 'nokia', 'after', 'it', 'announced', 'plans', 'to', 'team', 'up', 'with', 'sanyo', 'to', 'manufacture', 'g', 'handsets', 'and', 'by', 'nokian', 'tyres', 'after', 'its', 'fourth', 'quarter', 'earnings', 'report', 'beat', 'analysts', 'expectations', 'dealers', 'said']"
16,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",1,"['incap', 'contract', 'manufacturing', 'services', 'pvt', 'ltd', 'a', 'subsidiary', 'of', 'incap', 'corporation', 'of', 'finland', 'plans', 'to', 'double', 'its', 'revenues', 'by']"
17,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",1,"['its', 'board', 'of', 'directors', 'will', 'propose', 'a', 'dividend', 'of', 'eur', 'per', 'share', 'for', 'up', 'from', 'the', 'eur', 'per', 'share', 'paid', 'in']"
18,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",1,"['lifetree', 'was', 'founded', 'in', 'and', 'its', 'revenues', 'have', 'risen', 'on', 'an', 'average', 'by', 'with', 'margins', 'in', 'late', 's']"
19,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",1,"['filippova', 'a', 'trilateral', 'agreement', 'on', 'investment', 'in', 'the', 'construction', 'of', 'a', 'technology', 'park', 'in', 'st', 'petersburg', 'was', 'to', 'have', 'been', 'signed', 'in', 'the', 'course', 'of', 'the', 'forum', 'days', 'of', 'the', 'russian', 'economy', 'that', 'opened', 'in', 'helsinki', 'today']"
20,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",1,"['megafon', 's', 'subscriber', 'base', 'increased', 'in', 'to', 'million', 'users', 'as', 'of', 'december', 'while', 'its', 'market', 'share', 'by', 'the', 'number', 'of', 'customers', 'amounted', 'to', 'as', 'of', 'late', 'up', 'from', 'as', 'of', 'late', 'according', 'to', 'teliasonera', 'estimates']"
21,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",1,"['net', 'income', 'from', 'life', 'insurance', 'doubled', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'and', 'net', 'income', 'from', 'non', 'life', 'insurance', 'rose', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in', 'the', 'corresponding', 'period', 'in']"
22,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),1,"['net', 'sales', 'increased', 'to', 'eur', 'm', 'from', 'eur', 'm', 'and', 'pretax', 'profit', 'rose', 'by', 'to', 'eur', 'm', 'eur', 'usd']"
23,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",1,"['net', 'sales', 'surged', 'by', 'to', 'eur', 'm', 'teleste', 'said', 'that', 'eur', 'm', 'or', 'of', 'the', 'sales', 'came', 'from', 'the', 'acquisitions', 'made', 'in']"
24,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,1,"['nordea', 'group', 's', 'operating', 'profit', 'increased', 'in', 'by', 'percent', 'year', 'on', 'year', 'to', 'billion', 'euros', 'and', 'total', 'revenue', 'by', 'percent', 'to', 'billion', 'euros']"
25,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",1,"['operating', 'profit', 'for', 'the', 'nine', 'month', 'period', 'increased', 'from', 'eur', 'm', 'while', 'net', 'sales', 'increased', 'from', 'eur', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in']"
26,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",1,"['operating', 'profit', 'for', 'the', 'nine', 'month', 'period', 'increased', 'from', 'eur', 'm', 'and', 'net', 'sales', 'increased', 'from', 'eur', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in']"
27,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",1,"['operating', 'profit', 'for', 'the', 'three', 'month', 'period', 'increased', 'from', 'eur', 'm', 'while', 'revenue', 'increased', 'from', 'eur', 'm', 'as', 'compared', 'to', 'the', 'corresponding', 'period', 'in']"
28,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",1,"['the', 'brazilian', 'unit', 'of', 'finnish', 'security', 'solutions', 'provider', 'f', 'secure', 'signed', 'up', 'new', 'clients', 'last', 'year', 'online', 'news', 'source', 'reseller', 'web', 'quoted', 'the', 'division', 's', 'commercial', 'director', 'vladimir', 'brand', 'o', 'as', 'saying']"
29,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",1,"['the', 'company', 's', 'net', 'profit', 'rose', 'on', 'the', 'year', 'to', 'million', 'euros', 'in', 'on', 'sales', 'of', 'million', 'euros', 'up', 'on', 'the', 'year', 'the', 'company', 'said', 'earlier']"
30,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",1,"['the', 'lithuanian', 'beer', 'market', 'made', 'up', 'million', 'liters', 'in', 'january', 'a', 'rise', 'of', 'percent', 'from', 'the', 'year', 'earlier', 'figure', 'the', 'lithuanian', 'brewers', 'association', 'reporting', 'citing', 'the', 'results', 'from', 'its', 'members']"
31,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",1,"['viking', 'line', 's', 'cargo', 'revenue', 'increased', 'by', 'to', 'eur', 'mn', 'and', 'cargo', 'volume', 'increased', 'by', 'to', 'cargo', 'units']"
32,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",1,"['the', 'fair', 'value', 'of', 'the', 'property', 'portfolio', 'doubled', 'as', 'a', 'result', 'of', 'the', 'kapiteeli', 'acquisition', 'and', 'totalled', 'eur', 'million']"
33,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,1,"['february', 'finnish', 'media', 'company', 'sanoma', 'oyj', 'hel', 'saa', 'v', 'said', 'yesterday', 'its', 'net', 'profit', 'almost', 'tripled', 'to', 'eur', 'm', 'from', 'eur', 'm', 'for', 'and', 'announced', 'a', 'proposal', 'for', 'a', 'raised', 'payout']"
34,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",1,"['a', 'helsinki', 'eliiv', 'today', 'reported', 'eps', 'of', 'eur', 'for', 'an', 'increase', 'over', 'eps', 'of', 'eur', 'in']"
35,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",1,"['aspo', 'plc', 'stock', 'exchange', 'release', 'february', 'at', 'a', 'm', 'esl', 'shipping', 'ltd', 'part', 'of', 'aspo', 'group', 'has', 'signed', 'a', 'new', 'long', 'term', 'contract', 'with', 'rautaruukki', 'corporation', 'for', 'the', 'marine', 'transport', 'of', 'raw', 'materials', 'on', 'the', 'baltic', 'sea']"
36,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",1,"['commission', 'income', 'increased', 'by', 'to', 'eur', 'mn', 'and', 'lending', 'volume', 'rose', 'by']"
37,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",1,"['in', 'january', 'traffic', 'measured', 'in', 'revenue', 'passenger', 'kilometres', 'rpk', 'went', 'up', 'by', 'and', 'capacity', 'measured', 'in', 'available', 'seat', 'kilometres', 'ask', 'rose', 'by']"
38,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",1,"['in', 'january', 'september', 'fiskars', 'net', 'profit', 'went', 'up', 'by', 'year', 'on', 'year', 'to', 'eur', 'million', 'and', 'net', 'sales', 'to', 'eur', 'million', 'from', 'eur', 'million']"
39,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1,"['net', 'income', 'from', 'life', 'insurance', 'rose', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'and', 'net', 'income', 'from', 'non', 'life', 'insurance', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in']"
40,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",1,"['nyrstar', 'has', 'also', 'agreed', 'to', 'supply', 'to', 'talvivaara', 'up', 'to', 'tonnes', 'of', 'sulphuric', 'acid', 'per', 'annum', 'for', 'use', 'in', 'talvivaara', 's', 'leaching', 'process', 'during', 'the', 'period', 'of', 'supply', 'of', 'the', 'zinc', 'in', 'concentrate']"
41,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",1,"['sales', 'for', 'both', 'the', 'department', 'store', 'division', 'and', 'hobby', 'hall', 'increased', 'by', 'while', 'sales', 'for', 'the', 'clothing', 'store', 'subsidiary', 'seppala', 'decreased', 'by']"
42,Sales have risen in other export markets .,1,"['sales', 'have', 'risen', 'in', 'other', 'export', 'markets']"
43,Sales increased due to growing market rates and increased operations .,1,"['sales', 'increased', 'due', 'to', 'growing', 'market', 'rates', 'and', 'increased', 'operations']"
44,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,1,"['the', 'agreement', 'strengthens', 'our', 'long', 'term', 'partnership', 'with', 'nokia', 'siemens', 'networks']"
45,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",1,"['the', 'agreement', 'was', 'signed', 'with', 'biohit', 'healthcare', 'ltd', 'the', 'uk', 'based', 'subsidiary', 'of', 'biohit', 'oyj', 'a', 'finnish', 'public', 'company', 'which', 'develops', 'manufactures', 'and', 'markets', 'liquid', 'handling', 'products', 'and', 'diagnostic', 'test', 'systems']"
46,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,1,"['the', 'company', 'also', 'estimates', 'the', 'already', 'carried', 'out', 'investments', 'to', 'lead', 'to', 'an', 'increase', 'in', 'its', 'net', 'sales', 'for', 'from', 'when', 'they', 'reached', 'eur', 'million']"
47,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",1,"['the', 'company', 's', 'order', 'book', 'stood', 'at', 'bln', 'euro', 'bln', 'on', 'september', 'up', 'by', 'pct', 'on', 'the', 'year', 'with', 'international', 'orders', 'amounting', 'to', 'mln', 'euro', 'mln']"
48,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",1,"['the', 'company', 'said', 'that', 'paper', 'demand', 'increased', 'in', 'all', 'of', 'its', 'main', 'markets', 'including', 'of', 'publication', 'papers', 'and', 'that', 'it', 'increased', 'average', 'paper', 'prices', 'by', 'percent', 'compared', 'with', 'last', 'year']"
49,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",1,"['the', 'world', 's', 'second', 'largest', 'stainless', 'steel', 'maker', 'said', 'net', 'profit', 'in', 'the', 'three', 'month', 'period', 'until', 'dec', 'surged', 'to', 'euro', 'million', 'us', 'million', 'or', 'euro', 'us', 'per', 'share', 'from', 'euro', 'million', 'or', 'euro', 'per', 'share', 'the', 'previous', 'year']"
50,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",1,"['within', 'the', 'framework', 'of', 'the', 'partnership', 'nokia', 'siemens', 'networks', 'has', 'signed', 'an', 'initial', 'framework', 'purchase', 'agreement', 'with', 'sitronics', 'subsidiary', 'jsc', 'mikron', 'which', 'is', 'the', 'largest', 'manufacturer', 'and', 'exporter', 'of', 'microelectronic', 'components', 'in', 'russia']"
51,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",1,"['seppala', 's', 'revenue', 'increased', 'by', 'to', 'eur', 'm', 'in', 'finland', 'revenue', 'went', 'down', 'by', 'to', 'eur', 'm', 'while', 'sales', 'abroad', 'rose', 'by', 'to', 'eur', 'm', 'sales', 'increased', 'in', 'all', 'the', 'baltic', 'countries', 'as', 'well', 'as', 'in', 'russia', 'and', 'ukraine']"
52,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",1,"['shares', 'of', 'standard', 'chartered', 'stan', 'rose', 'in', 'the', 'ftse', 'while', 'royal', 'bank', 'of', 'scotland', 'rbs', 'shares', 'rose', 'and', 'barclays', 'shares', 'barc', 'bcs', 'were', 'up']"
53,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,1,"['shares', 'of', 'nokia', 'corp', 'rose', 'thursday', 'after', 'the', 'cell', 'phone', 'maker', 'said', 'its', 'third', 'quarter', 'earnings', 'almost', 'doubled', 'and', 'its', 'share', 'of', 'the', 'global', 'handset', 'market', 'increased']"
54,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",1,"['in', 'its', 'financial', 'report', 'published', 'on', 'friday', 'seb', 'said', 'its', 'net', 'profit', 'soared', 'to', 'sek', 'bn', 'in', 'from', 'a', 'year', 'earlier', 'sek', 'bn', 'and', 'proposed', 'a', 'dividend', 'increase', 'to', 'sek', 'per', 'share']"
55,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,1,"['sales', 'for', 'the', 'department', 'store', 'division', 'increased', 'by', 'and', 'sales', 'for', 'the', 'clothing', 'store', 'subsidiary', 'seppala', 'increased', 'by', 'meanwhile', 'sales', 'for', 'hobby', 'hall', 'decreased', 'by']"
56,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",1,"['at', 'first', 'the', 'contract', 'envisaged', 'the', 'construction', 'of', 'three', 'ferryboats', 'with', 'an', 'option', 'for', 'two', 'more', 'units', 'further', 'confirmed', 'at', 'a', 'total', 'value', 'of', 'mln', 'euro', 'mln']"
57,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",1,"['kesko', 'corporation', 'stock', 'exchange', 'release', 'at', 'kesko', 'corporation', 'and', 'aspo', 'plc', 'today', 'signed', 'an', 'agreement', 'by', 'which', 'aspo', 'acquires', 'the', 'share', 'capital', 'of', 'kauko', 'telko', 'ltd', 'a', 'subsidiary', 'wholly', 'owned', 'by', 'kesko']"
58,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,1,"['sponda', 'plc', 'stock', 'exchange', 'release', 'december', 'at', 'eur', 'billion', 'syndicated', 'credit', 'facility', 'for', 'sponda', 'sponda', 'has', 'signed', 'an', 'agreement', 'for', 'a', 'one', 'year', 'syndicated', 'credit', 'facility', 'for', 'a', 'total', 'of', 'eur', 'billion']"
59,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",1,"['the', 'contract', 'covers', 'hdo', 'platform', 'ac', 'and', 'cxe', 'optical', 'fttb', 'nodes', 'designed', 'to', 'increase', 'the', 'forward', 'and', 'return', 'path', 'capacity', 'of', 'the', 'transmission', 'networks']"
60,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",1,"['the', 'omx', 'helsinki', 'index', 'was', 'up', 'pct', 'at', 'and', 'the', 'helsinki', 'cap', 'portfolio', 'index', 'was', 'pct', 'higher', 'at']"
61,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",1,"['rinkuskiai', 'raised', 'the', 'sales', 'by', 'percent', 'to', 'million', 'liters', 'while', 'the', 'sales', 'of', 'kauno', 'alus', 'grew', 'by', 'percent', 'to', 'liters']"
62,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,1,"['telecomworldwire', 'april', 'tj', 'group', 'plc', 'sells', 'stake', 'in', 'morning', 'digital', 'design', 'oy', 'finnish', 'it', 'company', 'tj', 'group', 'plc', 'said', 'on', 'friday', 'april', 'that', 'it', 'had', 'signed', 'an', 'agreement', 'on', 'selling', 'its', 'shares', 'of', 'morning', 'digital', 'design', 'oy', 'to', 'edita', 'oyj']"
63,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,1,"['under', 'this', 'agreement', 'biohit', 'becomes', 'a', 'focus', 'supplier', 'of', 'pipettors', 'and', 'disposable', 'pipettor', 'tips', 'to', 'vwr', 'customers', 'throughout', 'europe']"
64,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",1,"['the', 'combination', 'of', 'all', 'services', 'enabling', 'us', 'to', 'offer', 'a', 'complex', 'and', 'strengthened', 'service', 'chain', 'not', 'only', 'limited', 'to', 'the', 'baltic', 'port', 'connections', 'but', 'also', 'for', 'getting', 'access', 'to', 'the', 'world', 'wide', 'grimaldi', 'network', 'into', 'the', 'mediterranean', 'africa', 'and', 'north', 'america', 'says', 'uwe', 'bakosch']"
65,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",1,"['the', 'company', 'still', 'expects', 'its', 'turnover', 'in', 'to', 'slightly', 'increase', 'from', 'the', 'level', 'of', 'adding', 'that', 'market', 'predictability', 'is', 'still', 'too', 'poor', 'for', 'trustworthy', 'forecasts', 'on', 'the', 'market', 'development', 'of', 'the', 'contract', 'manufacturing', 'business', 'during', 'the', 'current', 'year']"
66,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,1,"['the', 'acquisition', 'will', 'considerably', 'increase', 'kemira', 's', 'sales', 'and', 'market', 'position', 'in', 'the', 'russian', 'metal', 'industry', 'coatings', 'market']"
67,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",1,"['in', 'january', 'september', 'finnlines', 'net', 'sales', 'rose', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in', 'the', 'corresponding', 'period', 'in']"
68,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",1,"['adjusted', 'for', 'changes', 'in', 'the', 'group', 'structure', 'the', 'division', 's', 'net', 'sales', 'increased', 'by']"
69,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",1,"['the', 'change', 'will', 'optimize', 'the', 'operational', 'efficiencies', 'of', 'our', 'growing', 'business', 'said', 'julia', 'prohaska', 'director', 'of', 'marketing', 'communications', 'for', 'fiskars']"
70,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",1,"['they', 'would', 'invest', 'not', 'only', 'in', 'the', 'physical', 'infrastructure', 'but', 'would', 'also', 'provide', 'know', 'how', 'for', 'managing', 'and', 'developing', 'science', 'and', 'technology', 'parks', 'said', 'sunrise', 'valley', 'director', 'andrius', 'bagdonas']"
